"prolif_check","discuss_1","read_1","age","gender","gender_4_TEXT","edu","anything_else","condition","clicked_t","clicked_f"
"Against (I feel negatively about the vaccines)","Most days","Most weeks","35","Female","-99","GCSEs,Vocational Training / Apprenticeship,A levels,Undergraduate degree (BSc, BA)","This is an interesting study because i am worried about the vaccine, i hear understand both sides and i have done a lot of research. I am still unsure to be honest which way i would go.","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Once or twice a year","57","Female","-99","A levels","I don't understand why the government doesn't run advertising campaigns or programmes on TV weekly with clear explanations on how vaccinations work. Including the information as you explained.","control","0","0"
"Neutral (I don't have strong opinions either way)","Most days","Most weeks","32","Female","-99","Postgraduate degree (MSc, MA, MPhil)","I think that even with education, it won't change people's minds on the covid vaccine. Too many people think it won't affect them.","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Once or twice a year","29","Male","-99","GCSEs","have a nice day","control","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Most weeks","28","Male","-99","Undergraduate degree (BSc, BA)","Good study and good avenue to spread information on this important subject.","choice","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Most days","18","Female","-99","A levels","This was an interesting study, I really appreciate the information that was given when I clicked on the questions, it helped me to gain more of an insight as I study Molecular Biology.","choice","0","0"
"Neutral (I don't have strong opinions either way)","Once or twice a year","Once or twice a year","43","Female","-99","Undergraduate degree (BSc, BA)","I now I answered q's about the material I've read - but I did think this was clear, concise and accessible.  Plus the questions about what I'm interested in covered a good spread - well done! ","choice","0","0"
"Neutral (I don't have strong opinions either way)","Most months","Most months","24","Male","-99","A levels","Thanks for the concise information on the vaccine, some of which was new to me!","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Rarely","50","Male","-99","A levels","no issues","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Once or twice a year","22","Male","-99","Undergraduate degree (BSc, BA)","interesting (:","control","0","0"
"Neutral (I don't have strong opinions either way)","Most months","Rarely","29","Female","-99","Undergraduate degree (BSc, BA)","Really interesting survey ","choice","0","0"
"Neutral (I don't have strong opinions either way)","A few times a year","A few times a year","36","Male","-99","Undergraduate degree (BSc, BA)","The question repeat could have been better explained that it was trying to gauge how much the text alters viewpoints","choice","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Most weeks","32","Female","-99","Undergraduate degree (BSc, BA)","I really liked the layout of survey ","control","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most days","54","Female","-99","A levels","I bet you don't get many responses like this :-)","control","0","0"
"Against (I feel negatively about the vaccines)","Never","Most days","24","Female","-99","Undergraduate degree (BSc, BA)","Questions were easy to answer to as they were straight to the point. ","control","0","1"
"Neutral (I don't have strong opinions either way)","A few times a year","Most months","32","Female","-99","Vocational Training / Apprenticeship","I found this study very interesting and informative. I appreciate the way it designed. Thanks","choice","0","0"
"Neutral (I don't have strong opinions either way)","Most months","Most months","23","Female","-99","A levels","Very enjoyable and informative ","choice","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","A few times a year","46","Female","-99","Undergraduate degree (BSc, BA)","I wish I could read all articles you provided. ","choice","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","A few times a year","42","Male","-99","Vocational Training / Apprenticeship","It took me to some other page or website during this study.","choice","0","0"
"Neutral (I don't have strong opinions either way)","Most months","Most months","19","Female","-99","A levels","there was a lot of text to read, but it was relevant and interesting","control","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most months","22","Female","-99","Undergraduate degree (BSc, BA)","it was a great study. But i think its important to consider different types of learners. personally, i am an auditory learner.. so maybe youtube video links with the information would be soo good! Everything else was great!","choice","0","0"
"Neutral (I don't have strong opinions either way)","A few times a year","Most days","23","Female","-99","GCSEs","Interesting study.","control","0","0"
"Neutral (I don't have strong opinions either way)","Most days","Most days","52","Male","-99","GCSEs","Excellent study, well written, informative and I enjoyed participating very much and look forward to the next one.","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Most weeks","40","Male","-99","GCSEs","My mother in her sixties has had her two jabs and so has a brother of mine who is waiting for a brain operation to remove a meningioma. I'll be receiving my first jab soon enough. Reading and understanding more about the vaccination really helps with the process so thank you very much for explaining more about it. ","choice","0","1"
"Neutral (I don't have strong opinions either way)","Never","A few times a year","33","Male","-99","GCSEs","it was fine","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Most weeks","52","Female","-99","Undergraduate degree (BSc, BA)","There are pro's and con's to both views.","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","55","Female","-99","Undergraduate degree (BSc, BA)","Nothing further thanks.","choice","0","0"
"Neutral (I don't have strong opinions either way)","Once or twice a year","Rarely","33","Female","-99","Undergraduate degree (BSc, BA)","Really informative, clear and I learnt from this study ","control","0","0"
"Neutral (I don't have strong opinions either way)","Most months","Most months","22","Female","-99","A levels","n/a thank you","choice","0","0"
"Neutral (I don't have strong opinions either way)","A few times a year","Most months","60","Female","-99","Undergraduate degree (BSc, BA)","Great study - both interesting and informative","control","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Most weeks","52","Female","-99","Postgraduate degree (MSc, MA, MPhil)","I am more ambivalent than the options given at the beginning I am neither for or against or neutral but am more considered in my beliefs.","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most weeks","52","Male","-99","A levels","People have died from taking this vaccine. Please research this.","control","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Rarely","28","Male","-99","Undergraduate degree (BSc, BA)","This survey seemed somewhat unbiased, but your information section could use some arguments against the vaccine to be fully unbiased.","choice","0","0"
"Neutral (I don't have strong opinions either way)","Once or twice a year","A few times a year","20","Male","-99","Undergraduate degree (BSc, BA)","I am glad this study is being done as I believe the information gained from it is  significantly more necessary than others. I believe that in a follow up study, it would be valuable to also collect information pertaining to how people felt about the way in which the vaccine rollout was presented to them by national services. For instance if they were told which vaccine they would get, whether it was mandatory, and if the language used inform was presented in a forceful manner.","choice","0","0"
"Neutral (I don't have strong opinions either way)","Most months","Most months","32","Female","-99","GCSEs","This study was very interesting. ","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Most weeks","26","Female","-99","Vocational Training / Apprenticeship","Excellent survey!","choice","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Most days","32","Male","-99","Undergraduate degree (BSc, BA)","Had no technical problems, everything went smooth. Instructions were clear and easy to understand.","control","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Most months","30","Female","-99","Vocational Training / Apprenticeship","Really good info and food for thought.","control","0","0"
"Neutral (I don't have strong opinions either way)","Most days","Most days","26","Male","-99","A levels","worked good ","choice","0","0"
